FID,FID_Austin,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID1,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,FID_new1,CrashID,CrashID1,Latitude,Longitude,Unit_Nbr,Prsn_Nbr,Crash_UP_ID,Prsn_Type_,Prsn_Injry,Prsn_Age,Prsn_Gndr_
55,508,48,453,2422,1,4.8453E+11,1500US484530024221,Block Group 1,G5030,S,946328,0,30.1905928,-97.7846013,1288,12282191,AUS_12282191,30.19310539,-97.77934989,2,1,AUS_1228219121,3,3,23,1
56,78,48,453,1770,1,4.8453E+11,1500US484530017701,Block Group 1,G5030,S,7266689,0,30.1959673,-97.90379,831,12650765,AUS_12650765,30.19368,-97.88591,1,1,AUS_1265076511,3,2,64,1
57,494,48,453,2411,3,4.8453E+11,1500US484530024113,Block Group 3,G5030,S,487802,0,30.1967307,-97.7491428,620,13345612,AUS_13345612,30.19400901,-97.74476582,1,1,AUS_1334561211,3,2,13,1
58,406,48,453,2431,3,4.8453E+11,1500US484530024313,Block Group 3,G5030,S,7452644,0,30.1786431,-97.7318089,1341,12358877,AUS_12358877,30.19499,-97.73778,2,1,AUS_1235887721,3,2,26,1
59,497,48,453,2412,3,4.8453E+11,1500US484530024123,Block Group 3,G5030,S,605886,0,30.1916835,-97.7549166,582,13270074,AUS_13270074,30.1950055,-97.75816293,2,1,AUS_1327007421,3,3,10,1
60,494,48,453,2411,3,4.8453E+11,1500US484530024113,Block Group 3,G5030,S,487802,0,30.1967307,-97.7491428,259,13709194,AUS_13709194,30.19513059,-97.74752675,2,1,AUS_1370919421,3,3,9,1
61,403,48,453,2431,1,4.8453E+11,1500US484530024311,Block Group 1,G5030,S,6698685,0,30.2011402,-97.7211115,1284,12276232,AUS_12276232,30.19542143,-97.72922833,2,1,AUS_1227623221,3,1,8,2
62,78,48,453,1770,1,4.8453E+11,1500US484530017701,Block Group 1,G5030,S,7266689,0,30.1959673,-97.90379,1167,12081155,AUS_12081155,30.19583037,-97.90673857,2,1,AUS_1208115521,3,1,9,1
63,282,48,453,2402,2,4.8453E+11,1500US484530024022,Block Group 2,G5030,S,791124,0,30.202511,-97.779861,1202,12149762,AUS_12149762,30.19706,-97.77716,2,1,AUS_1214976221,3,3,21,1
64,494,48,453,2411,3,4.8453E+11,1500US484530024113,Block Group 3,G5030,S,487802,0,30.1967307,-97.7491428,851,12688698,AUS_12688698,30.19706262,-97.74432137,2,1,AUS_1268869821,3,1,9,1
65,282,48,453,2402,2,4.8453E+11,1500US484530024022,Block Group 2,G5030,S,791124,0,30.202511,-97.779861,914,12830581,AUS_12830581,30.19729,-97.77842,2,1,AUS_1283058121,3,2,45,2
